matched_name,species,X,Tips,Order,Familly,Genus,Mass,Longevity_Species,SexMatF_Species
Bambusicola fytchii,Bambusicola fytchii,,Bambusicola_fytchii_NC020583,Galliformes,,Bambusicola,318.5,NA,NA
Bambusicola thoracicus,Bambusicola thoracica,,Bambusicola_thoracica_NC011816,Galliformes,,Bambusicola,270.25,NA,NA
Bombycilla cedrorum,Bombycilla cedrorum,,NA,NA,NA,NA,NA,NA,NA
Bonasa bonasia,Bonasa bonasia,,Bonasia_bonasia_NC020591,Galliformes,,Bonasa,429,11,120
Brotogeris cyanoptera,Brotogeris cyanoptera,,Brotogeris_cyanoptera_HM627323,Psittaciformes,,Brotogeris,56,11.3,730
Buteo burmanicus,Buteo burmanicus,,Buteo_burmanicus_KM364882,Accipitriformes,,Buteo,NA,NA,NA
Buteo buteo,Buteo buteo,,Buteo_buteo_NC003128,Accipitriformes,,Buteo,875,28.8,730
Butorides striata,Butorides striata,,Butorides_striata_NC025922,Gruiformes,,Butorides,226,11.6,730
Cacatua moluccensis,Cacatua moluccensis,,Cacatua_moluccensis_NC_020592,Psittaciformes,,Cacatua,835,65.8,2000
Cacatua pastinator,Cacatua pastinator,,Cacatua_pastinator_JF414240,Psittaciformes,,Cacatua,750,26.3,2000
Cairina moschata,Cairina moschata,,Cairina_moschata_NC010965,Anseriformes,,Cairina,2450,NA,NA
Calyptorhynchus baudinii,Calyptorhynchus baudinii,,Calyptorhynchus_baudinii_NC020594,Psittaciformes,,Calyptorhynchus,620,47,NA
Calyptorhynchus latirostris,Calyptorhynchus latirostris,,Calyptorhynchus_latirostris_NC020595,Psittaciformes,,Calyptorhynchus,612,NA,NA
Campylorhynchus zonatus,Campylorhynchus zonatus,,Campylorhynchus_zonatus_NC022840,Psittaciformes,,Campylorhynchus,34.6,7.3,243
