Tips,species,matched_name,body_mass,max_longevity,age_first_breeding,litter_or_clutch_size_n,clutches_per_year,fecundity
Geopelia_striata_HM746791,Geopelia striata,Geopelia striata,51.875,14,NA,2,NA,NA
Geospiza_fortis_KM891730,Geospiza fortis,Geospiza fortis,24,NA,365.25,4,NA,NA
Geotrygon_violacea_HM640213,Geotrygon violacea,Geotrygon violacea,96,NA,NA,2,NA,NA
Gnorimopsar_chopi_NC018795,Gnorimopsar chopi,Gnorimopsar chopi,66.45,NA,NA,4,NA,NA
Gracula_religiosa_NC015898,Gracula religiosa,Gracula religiosa,193.5,NA,NA,1.7,3,5.1
Grus_americana_NC020576,Grus americana,Grus americana,6850,40,1638.67,2,1,2
Grus_antigone_NC021581,Grus antigone,Grus antigone,7150,41.8,1817.34,1.95,1,1.95
Grus_canadensis_NC021582,Grus canadensis,Grus canadensis,4170,36.58333,1095,2,1,2
Grus_carunculatus_NC020571,Grus carunculatus,Grus carunculata,8285,NA,2008.875,1.75,1,1.75
Grus_grus_NC020577,Grus grus,Grus grus,5500,43,1825,2,1,2
Grus_japonensis_NC020575,Grus japonensis,Grus japonensis,8500,40,1183.569,2,1,2
Grus_leucogeranus_NC020574,Grus leucogeranus,Grus leucogeranus,5724.75,39.4,2180.808,2,1,2
Grus_monacha_NC020578,Grus monacha,Grus monacha,3702.5,40,1040,2,1,2
Grus_nigricollis_NC020579,Grus nigricollis,Grus nigricollis,6000,30,NA,2,1,2
Grus_paradisea_FJ769844,Grus paradisea,Grus paradisea,4341.75,25,1635.606,2,1,2
Grus_rubicunda_NC020580,Grus rubicunda,Grus rubicunda,6250.5,65,1363.005,2,1,2
Grus_vipio_NC021368,Grus vipio,Grus vipio,5031.5,45,1095,2,1,2
Grus_virgo_FJ769845,Grus virgo,Grus virgo,2400,67,730,2,1,2
Gymnomystax_mexicanus_NC018812,Gymnomystax mexicanus,Gymnomystax mexicanus,98,NA,NA,3,NA,NA
Haematopus_ater_NC003713,Haematopus ater,Haematopus ater,717.5,17,1095,2,NA,NA
Halcyon_pileata_NC024198,Halcyon pileata,Halcyon pileata,86,8,NA,4.5,1,4.5
Halcyon_sancta_NC011712,Halcyon sancta,Todiramphus sanctus,53.95,8.083333,NA,4.635,2,9.27
Heliornis_fulica_NC025499,Heliornis fulica,Heliornis fulica,132,NA,NA,2.2,NA,NA
Hemignathus_flavus,Hemignathus flavus,Chlorodrepanis flava,13.025,NA,NA,NA,NA,NA
Hemignathus_munroi,Hemignathus munroi,Hemignathus wilsoni,28,13,365,1,1,1
Hemignathus_parva,Hemignathus parva,Magumma parva,9.75,9.5,365,3,1,3
Hemignathus_stejnegeri,Hemignathus stejnegeri,Akialoa stejnegeri,NA,NA,NA,NA,NA,NA
Hemignathus_virens,Hemignathus virens,Chlorodrepanis virens,13.35,12,NA,2.5,1.5,3.75
