species,Tips,matched_name
Gymnomystax mexicanus,Gymnomystax_mexicanus_NC018812,Gymnomystax mexicanus
Haematopus ater,Haematopus_ater_NC003713,Haematopus ater
Halcyon pileata,Halcyon_pileata_NC024198,Halcyon pileata
Halcyon sancta,Halcyon_sancta_NC011712,Todiramphus sanctus
Hemignathus flavus,Hemignathus_flavus,Chlorodrepanis flava
Hemignathus munroi,Hemignathus_munroi,Hemignathus wilsoni
Hemignathus parva,Hemignathus_parva,Magumma parva
Hemignathus stejnegeri,Hemignathus_stejnegeri,Akialoa stejnegeri
Hemignathus virens,Hemignathus_virens,Chlorodrepanis virens
Hemignathus wilsoni,Hemignathus_wilsoni,Hemignathus wilsoni
Hemiphaga novaeseelandiae,Hemiphaga_novaeseelandiae_NC013244,Hemiphaga novaeseelandiae
Henicorhina leucosticta,Henicorhina_leucosticta_KJ746107,Henicorhina leucosticta
Himantopus mexicanus,Himantopus_mexicanus,Himantopus mexicanus
Himatione sanguinea,Himatione_sanguinea,Himatione sanguinea
Hirundo rustica,Hirundo_rustica_KP148840,Hirundo rustica
Hyliota flavigaster,Hyliota_flavigaster,Hyliota flavigaster
Icterus mesomelas,Icterus_mesomelas_JX516068,Icterus mesomelas
Ixobrychus cinnamomeus,Ixobrychus_cinnamomeus_NC015077,Ixobrychus cinnamomeus
Ixobrychus eurhythmus,Ixobrychus_eurhythmus_NC025924,Ixobrychus eurhythmus
Ixobrychus sinensis,Ixobrychus_sinensis_NC025925,Ixobrychus sinensis
Jacana jacana,Jacana_jacana_NC024069,Jacana jacana
Jacana spinosa,Jacana_spinosa_NC024068,Jacana spinosa
Lampropsar tanagrinus,Lampropsar_tanagrinus_JX516057,NA
Larus brunnicephalus,Larus_brunnicephalus_NC018548,Chroicocephalus brunnicephalus
Larus crassirostris,Larus_crassirostris_NC025556,Larus crassirostris
Larus dominicanus,Larus_dominicanus_NC007006,Larus dominicanus
Larus relictus,Larus_relictus_NC023777,Ichthyaetus relictus
Larus saundersi,Larus_saundersi_NC017601,Chroicocephalus saundersi
Leiothrix argentauris,Leiothrix_argentauris_NC015114,Leiothrix argentauris
Leiothrix lutea,Leiothrix_lutea_NC020427,Leiothrix lutea
Leptotila verreauxi,leptotila_verreauxi_HM640214,Leptotila verreauxi
Leucosticte arctoa,Leucosticte_arctoa,Leucosticte arctoa
Leucosticte brandti,Leucosticte_brandti,Leucosticte brandti
Lewinia muelleri,Lewinia_muelleri_NC_025502,Lewinia muelleri
Lophophorus lhuysii,Lophophorus_lhuysii_NC013979,Lophophorus lhuysii
Lophophorus sclateri,Lophophorus_sclateri_NC_020589,Lophophorus sclateri
Lophura ignita,Lophura_ignita_NC010781,Lophura ignita
Lophura nycthemera,Lophura_nycthemera_NC012895,Lophura nycthemera
Lophura swinhooi,Lophura_swinhooi_NC023779,Lophura swinhoii
Loxia curvirostra,Loxia_curvirostra,Loxia curvirostra
Loxops caeruleirostris,Loxops_caeruleirostris,Loxops caeruleirostris
Loxops coccineus,Loxops_coccineus_NC025612,Loxops coccineus
Luscinia calliope,Luscinia_calliope_NC015074,Calliope calliope
Luscinia cyanura,Luscinia_cyanura,Tarsiger cyanurus
Lyrurus tetrix,Lyrurus_tetrix_NC024554,Lyrurus tetrix
Macroagelaius imthurni,Macroagelaius_imthurni_NC018810,Macroagelaius imthurni
Malurus melanocephalus,Malurus_melanocephalus,Malurus melanocephalus
Melamprosops phaeosoma,Melamprosops_phaesoma,Melamprosops phaeosoma
Meleagris gallopavo,Meleagris_gallopavo_NC010195,Meleagris gallopavo
Melopsittacus undulatus,Melopsittacus_undulatus_NC009134,Melopsittacus undulatus
Micrastur gilvicollis,Micrastur_gilvicollis_NC008548,Micrastur gilvicollis
Molothrus aeneus,Molothrus_aeneus_NC018806,Molothrus aeneus
Molothrus badius,Molothrus_badius_NC018811,Agelaioides baduis
Montifringilla adamsi,Montifringilla_adamsi,Montifringilla adamsi
Montifringilla nivalis,Montifringilla_nivalis,Montifringilla nivalis
Montifringilla ruficollis,Montifringilla_ruficollis_NC022815,Pyrgilauda ruficollis
Montifringilla taczanowskii,Montifringilla_taczanowskii,NA
Morus serrator,Morus_serrator_GU071056,Morus serrator
Neophema chrysogaster,Neophoma_chrysogaster_NC019804,Neophema chrysogaster
Nesopsar nigerrimus,Nesopsar_nigerrimus_NC018794,Nesopsar nigerrimus
Netta rufina,Netta_rufina_NC024922,Netta rufina
Nipponia nippon,Nipponia_nippon_NC008132,Nipponia nippon
Nucifraga columbiana,Nucifraga_columbiana_NC022839,Nucifraga columbiana
Numida meleagris,Numida_meleagris_NC006382,Numida meleagris
Nyctibius grandis,Nyctibius_grandis_EU344977,Nyctibius grandis
Nyctibius griseus,Nyctibius_griseus_HM746792,Nyctibius griseus
Nycticorax nycticorax,Nycticorax_nycticorax_NC015807,Nycticorax nycticorax
Nycticryphes semicollaris,Nycticryphes_semicollaris,Nycticryphes semicollaris
Nymphicus hollandicus,Nymphicus_hollandicus_HM640215,Nymphicus hollandicus
Oreomystis bairdi,Oreomystis_bairdi,Oreomystis bairdi
Oreomystis mana,Oreomystis_mana,Manucerthia mana
Oreopsar bolivianus,Oreopsar_bolivianus_NC018797,Agelaioides bolivianus
Oriolus chinensis,Oriolus_chinensis_NC020424,Oriolus chinensis
Paradoxornis webbianus,Paradoxornis_webbianus_KF725775,Sinosuthora webbiana
Paroreomyza montana,Paroreomyza_montana,Paroreomyza montana
Parus major,Parus_major_NC_026293,Parus major
Parus venustulus,Parus_venustulus_NC_026701,Pardaliparus venustulus
Passer domesticus,Passer_domesticus,Passer domesticus
Passer montanus,Passer_montanus_JX486030,Passer montanus
Pavo cristatus,Pavo_cristatus_NC024533,Pavo cristatus
Pavo muticus,Pavo_muticus_NC012897,Pavo muticus
Pedionomus torquatus,Pedionomus_torquatus,Pedionomus torquatus
Pelagodroma marina,Pelagodroma_marina_KC875856,Pelagodroma marina
Pelecanus conspicillatus,Pelecanus_conspicillatus_DQ780883,Pelecanus conspicillatus
Penelopides panini,Penelopides_panini_HQ834451,Penelopides panini
Perdix dauurica,Perdix_dauurica_NC020588,Perdix dauurica
Perdix hodgsoniae,Perdix_hodgsoniae_NC023940,Perdix hodgsoniae
Pericrocotus ethologus,Pericrocotus_ethologus_NC024257,Pericrocotus ethologus
Periparus ater,Periparus_ater,Periparus ater
Petroica boodang,Petroica_boodang_NC019666,Petroica boodang
Petroica goodenovii,Petroica_goodenovii_NC019667,Petroica goodenovii
Petroica phoenicea,Petroica_phoenicea_NC019668,Petroica phoenicea
Phalacrocorax chalconotus,Phalacrocorax_chalconotus_NC014679,Leucocarbo chalconotus
Phasianus colchicus,Phasianus_colchicus_NC015526,Phasianus colchicus
Phasianus versicolor,Phasianus_versicolor_NC010778,Phasianus versicolor
Phodilus badius,Phodilus_badius_NC_023787,Phodilus badius
Phoebastria albatrus,Phoebastria_albatrus_NC026190,Phoebastria albatrus
Phoebastria immutabilis,Phoebastria_immutabilis_NC026189,Phoebastria immutabilis
Phoebastria nigripes,Phoebastria_nigripes_NC026188,Phoebastria nigripes
Phoenicopterus roseus,Phoenicopterus_roseus_NC010089,Phoenicopterus roseus
Phoenicurus auroreus,Phoenicurus_auroreus,Phoenicurus auroreus
Phylloscopus inornatus,Phylloscopus_inornatus_KF742677,Phylloscopus inornatus
Pica pica,Pica_pica_NC015200,Pica pica
Pinicola enucleator,Pinicola_enucleator,Pinicola enucleator
